car_description,car_name,km_traveled,value,year
1.6 16v Sce Intense X-tronic,Renault Captur,34.760,R$ 86.870,2018
1.0 Unique 12v Manual,Hyundai Hb20,44.625,R$ 57.970,2019
2.0 4x4 16v Automático,Toyota Rav4,104.118,R$ 96.870,2014
1.0 Unique 12v Manual,Hyundai Hb20,66.033,R$ 56.970,2019
2.0 16v Special Edition Automático,Hyundai Elantra,86.864,R$ 89.870,2017
2.0 Tsi 16v Turbo Tiptronic,Volkswagen Tiguan,87.944,R$ 86.870,2015
1.0 200 Tsi Comfortline Automático,Volkswagen Virtus,74.583,R$ 82.680,2019
2.0 Gls 16v Automático,Hyundai Elantra,89.140,R$ 81.570,2016
1.0 Turbo Plus Ltz Automático,Chevrolet Onix,11.088,R$ 88.970,2020
1.5 Sigma Se Manual,Ford Ka,44.623,R$ 52.770,2018
1.8 16v Evo Endurance At6,Fiat Toro,25.179,R$ 107.970,2021
1.0 200 Tsi Total Automático,Volkswagen T-cross,9.713,R$ 119.970,2021
1.6 16v Flexstart Sv Xtronic,Nissan Kicks,19.934,R$ 109.870,2021
1.0 Evo Like. Manual,Fiat Mobi,59.365,R$ 49.470,2020
1.0 Turbo Plus Premier Automático,Chevrolet Onix,17.169,R$ 92.870,2020
1.0 Tgdi Diamond Automático,Hyundai Hb20,16.605,R$ 88.970,2020
1.8 16v Ex Automático,Honda Hr-v,47.169,R$ 121.870,2020
1.6 16v Flexstart Sl Xtronic,Nissan Kicks,50.068,R$ 93.870,2018
2.0 S Top 16v Turbo Automático,Mini Cooper,91.924,R$ 118.170,2015
1.5 16v Sedan Xls Multidrive,Toyota Yaris,50.022,R$ 92.970,2019
2.0 Tfsi Ambiente Avant 180cv Multitronic,Audi A4,72.119,R$ 99.970,2014
1.4 16v Turbo Premier Automático,Chevrolet Tracker,71.430,R$ 97.870,2018
1.0 200 Tsi Total Automático,Volkswagen T-cross,40.258,R$ 111.270,2020
1.4 16v Turbo Ltz Automático,Chevrolet Tracker,40.187,R$ 94.970,2017
1.5 16v Turbo Touring Cvt,Honda Civic,40.775,R$ 129.870,2017
1.4 Cult 8v Manual,Fiat 500,89.205,R$ 43.470,2012
1.4 Mpfi Lt 8v Automático,Chevrolet Prisma,9.311,R$ 75.570,2019
1.0 Turbo Premier Automático,Chevrolet Onix,10.030,R$ 97.370,2021
1.4 Mpi Freedom Cs 8v Manual,Fiat Strada,11.092,R$ 77.970,2020
1.5 Mpfi 16v Look Manual,Chery Tiggo 2,9.085,R$ 77.570,2020
1.8 16v Sport Automático,Jeep Renegade,45.538,R$ 91.870,2019
1.0 200 Tsi Comfortline Automático,Volkswagen Virtus,52.948,R$ 87.870,2019
2.0 16v Limited Automático,Jeep Compass,48.764,R$ 129.870,2018
1.6 S Rio 16v Manual,Nissan March,71.600,R$ 37.870,2013
2.0 16v Hi-flex Dynamique Automático,Renault Duster,61.784,R$ 78.870,2018
1.0 200 Tsi Comfortline Automático,Volkswagen Virtus,66.236,R$ 84.970,2020
1.0 12v Sense Manual,Hyundai Hb20,37.883,R$ 63.970,2021
1.5 Exl 16v Automático,Honda Fit,36.724,R$ 95.870,2019
2.0 16v Longitude Automático,Jeep Compass,56.853,R$ 120.970,2018
2.0 16v Tsi Bluemotion Highline Dsg,Volkswagen Passat,82.469,R$ 148.380,2018
2.0 Altis 16v Automático,Toyota Corolla,34.056,R$ 116.970,2018
1.8 16v Longitude Automático,Jeep Renegade,45.284,R$ 90.870,2018
1.8 16v Lx Manual,Honda Hr-v,32.331,R$ 95.970,2017
2.0 Titanium Fwd 16v Automático,Ford Fusion,65.000,R$ 122.970,2018
1.3 16v Xl Plus Tech Multidrive,Toyota Yaris,27.063,R$ 82.870,2019
1.0 200 Tsi Highline Automático,Volkswagen Polo,46.280,R$ 95.370,2020
1.6 16v Flexstart S Xtronic,Nissan Kicks,37.214,R$ 95.870,2020
1.4 16v Turbo Ltz Automático,Chevrolet Tracker,41.016,R$ 94.970,2017
2.0 16v Longitude Automático,Jeep Compass,20.000,R$ 132.970,2020
1.8 16v Sport Automático,Jeep Renegade,46.544,R$ 85.970,2018
1.5 Exl 16v Automático,Honda City,35.200,R$ 96.870,2019
1.4 Tsi Highline 16v Automático,Volkswagen Golf,74.000,R$ 84.870,2015
1.4 16v Turbo Premier Automático,Chevrolet Tracker,31.319,R$ 99.970,2018
1.8 16v Sport Automático,Jeep Renegade,43.061,R$ 92.970,2019
2.0 Vvt-ie Altis Direct Shift,Toyota Corolla,7.247,R$ 169.870,2022
1.0 12v Vision Manual,Hyundai Hb20,9.596,R$ 72.670,2022
1.5 Exl 16v Automático,Honda City,42.577,R$ 96.870,2019
1.0 Unique 12v Manual,Hyundai Hb20,59.220,R$ 57.870,2019
1.8 Mpfi Ltz 8v Automático,Chevrolet Cobalt,79.399,R$ 64.270,2017
1.4 16v Turbo Ltz Automático,Chevrolet Tracker,54.340,R$ 95.970,2017
1.5 16v Sedan Xls Connect Multidrive,Toyota Yaris,47.434,R$ 99.870,2020
1.0 200 Tsi Total Automático,Volkswagen T-cross,25.214,R$ 116.970,2021
1.0 200 Tsi Total Automático,Volkswagen T-cross,46.787,R$ 111.270,2020
1.6 16v Msi Totalflex Automático,Volkswagen Voyage,4.451,R$ 79.970,2021
2.0 16v Prestige Automático,Hyundai Creta,85.274,R$ 96.970,2017
2.0 16v Prestige Automático,Hyundai Creta,78.974,R$ 96.970,2017
2.0 16v Automático,Mitsubishi Outlander,66.193,R$ 133.670,2018
1.0 Unique 12v Manual,Hyundai Hb20,59.963,R$ 57.870,2019
1.0 12v Mpi Totalflex Manual,Volkswagen Gol,93.070,R$ 48.080,2019
1.4 16v Turbo Premier Automático,Chevrolet Tracker,58.899,R$ 98.870,2018
1.8 Mpi Adventure Cd 16v Manual,Fiat Strada,21.997,R$ 94.370,2020
1.0 12v Sce Zen Manual,Renault Kwid,39.971,R$ 47.870,2019
1.8 Activ 8v Automático,Chevrolet Spin,33.674,R$ 85.870,2019
1.8 16v Limited Automático,Jeep Renegade,22.023,R$ 129.870,2021
1.0 Turbo Lt Automático,Chevrolet Tracker,17.695,R$ 114.870,2021
1.6 Ex 16v Automático,Kia Soul,16.860,R$ 99.970,2019
1.8 E.torq Precision At6,Fiat Cronos,46.533,R$ 78.970,2019
1.6 16v Sce Iconic X-tronic,Renault Logan,4.346,R$ 76.970,2020
1.6 Vti 120 Live Eat6,Citroen C4 cactus,4.528,R$ 99.570,2022
1.6 Premium 16v Automático,Hyundai Hb20,46.130,R$ 75.870,2018
1.8 16v Sport Manual,Jeep Renegade,70.526,R$ 75.970,2016
1.0 200 Tsi Highline Automático,Volkswagen Virtus,74.120,R$ 86.580,2019
1.0 Comfort Plus 12v Manual,Hyundai Hb20s,40.462,R$ 67.870,2019
1.5 16v Flexone Exl Cvt,Honda Wr-v,83.218,R$ 88.870,2018
1.5 16v Xls Multidrive,Toyota Yaris,65.671,R$ 89.870,2019
1.0 200 Tsi Comfortline Automático,Volkswagen Virtus,47.996,R$ 83.270,2020
1.5 Lx 16v Automático,Honda Fit,81.013,R$ 79.870,2018
1.5 Ex 16v Automático,Honda Fit,75.083,R$ 73.970,2016
1.0 Mpi Total Manual,Volkswagen Polo,42.990,R$ 66.970,2019
1.0 200 Tsi Comfortline Automático,Volkswagen Virtus,59.816,R$ 84.870,2018
1.0 200 Tsi Comfortline Automático,Volkswagen Virtus,16.884,R$ 89.870,2019
1.5 Ti-vct Freestyle Manual,Ford Ecosport,22.089,R$ 85.870,2020
1.0 Mpi Total Manual,Volkswagen Polo,21.992,R$ 75.970,2021
1.6 Freestyle 16v Powershift,Ford Ecosport,61.244,R$ 71.870,2017
1.6 16v Sce Intense X-tronic,Renault Captur,76.345,R$ 84.970,2018
1.5 Ex 16v Automático,Honda Fit,40.524,R$ 90.970,2019
2.0 16v Limited Automático,Jeep Compass,45.813,R$ 129.870,2018
1.4 Mpi Hard Working Ce 8v Manual,Fiat Strada,53.164,R$ 67.570,2020
1.5 16v Sedan Xls Connect Multidrive,Toyota Yaris,54.082,R$ 99.170,2020
1.0 200 Tsi Total Automático,Volkswagen T-cross,29.510,R$ 112.970,2020
1.8 16v Automático,Jeep Renegade,54.616,R$ 85.970,2018
1.4 Tfsi Sedan Attraction 16v Tiptronic,Audi A3,84.884,R$ 95.170,2016
1.0 Ti-vct Se Manual,Ford Ka,64.913,R$ 52.570,2019
1.6 Msi Totalflex Manual,Volkswagen Gol,62.355,R$ 58.870,2021
1.4 Mpfi Ltz 8v Manual,Chevrolet Onix,10.212,R$ 74.570,2019
1.6 Mi 8v Automatizado,Volkswagen Polo,100.223,R$ 48.370,2013
1.6 Mpi Essence 16v Automatizado,Fiat Grand siena,102.258,R$ 44.970,2015
1.0 12v Sense Manual,Hyundai Hb20,59.149,R$ 59.970,2020
1.4 Turbo Lt 16v Automático,Chevrolet Cruze,23.630,R$ 103.970,2019
2.0 16v Longitude Automático,Jeep Compass,37.500,R$ 115.970,2017
1.4 Mpfi Lt 8v Manual,Chevrolet Onix,67.735,R$ 60.770,2019
1.0 200 Tsi Total Automático,Volkswagen T-cross,18.957,R$ 113.970,2020
1.0 200 Tsi Total Automático,Volkswagen T-cross,17.608,R$ 118.970,2021
1.6 Msi Total Automático,Volkswagen Virtus,13.641,R$ 90.870,2021
1.0 200 Tsi Total Automático,Volkswagen T-cross,31.043,R$ 112.970,2020
1.8 16v Automático,Jeep Renegade,76.575,R$ 84.970,2018
2.0 S 16v Flexstart Automático,Nissan Sentra,52.553,R$ 85.970,2019
2.0 Mpfi Gls 4x2 16v Automático,Hyundai Ix35,118.558,R$ 74.970,2013
2.0 Titanium Fwd 16v Automático,Ford Fusion,100.230,R$ 85.570,2015
1.0 Turbo Ltz Automático,Chevrolet Onix,38.242,R$ 83.670,2020
1.6 Msi Total Xtreme Manual,Volkswagen Fox,58.130,R$ 63.970,2018
1.6 Cgi Style 16v Turbo Automático,Mercedes-benz Gla 200,30.678,R$ 132.670,2016
1.5 Mivec Turbo Hpe Cvt,Mitsubishi Eclipse cross,17.716,R$ 158.970,2020
1.8 16v Sport Manual,Jeep Renegade,69.378,R$ 75.970,2016
1.4 Mpfi Lt 8v Manual,Chevrolet Onix,66.527,R$ 60.770,2019
1.4 Mpfi Lt 8v Manual,Chevrolet Onix,50.500,R$ 61.870,2019
1.5 16v Sedan Xls Connect Multidrive,Toyota Yaris,40.375,R$ 99.970,2020
1.0 200 Tsi Total Automático,Volkswagen T-cross,33.885,R$ 112.970,2021
1.0 200 Tsi Total Automático,Volkswagen T-cross,21.178,R$ 113.270,2020
1.6 Msi Total Automático,Volkswagen Virtus,40.228,R$ 82.870,2020
1.6 Msi Totalflex Manual,Volkswagen Gol,28.000,R$ 54.870,2019
1.6 Msi Totalflex Manual,Volkswagen Voyage,66.103,R$ 57.970,2019
2.0 16v Longitude Automático,Jeep Compass,85.149,R$ 114.970,2017
1.3 Turbo 270 Freedom At6,Fiat Toro,2.830,R$ 150.570,2022
1.0 12v Sce Life Manual,Renault Sandero,36.948,R$ 54.470,2021
2.0 Mpfi Gl 16v Automático,Hyundai Ix35,11.522,R$ 147.970,2022
1.4 Mpfi Lt 8v Manual,Chevrolet Onix,55.074,R$ 61.870,2019
2.0 16v Flexone Sport Cvt,Honda Civic,71.164,R$ 117.870,2019
1.6 16v Thp Griffe Automático,Peugeot 2008,24.981,R$ 100.870,2020
1.0 Mpi Move Up 12v Manual,Volkswagen Up,54.310,R$ 47.970,2016
1.6 16v Griffe At6,Peugeot 208,17.077,R$ 97.970,2021
2.0 16v Tsi Bluemotion Highline Dsg,Volkswagen Passat,51.000,R$ 159.570,2018
2.0 16v Hi-flex Rs Manual,Renault Sandero,17.087,R$ 92.170,2022
1.5 16v Sedan Xls Connect Multidrive,Toyota Yaris,52.116,R$ 99.870,2020
1.5 16v Sedan Xls Connect Multidrive,Toyota Yaris,43.407,R$ 99.970,2020
1.6 Msi Total Automático,Volkswagen Virtus,48.606,R$ 81.970,2020
1.4 Mpfi Lt 8v Manual,Chevrolet Onix,63.432,R$ 60.770,2019
2.0 16v Limited Automático,Jeep Compass,35.432,R$ 143.870,2019
1.0 200 Tsi Total Automático,Volkswagen T-cross,29.746,R$ 116.970,2021
1.4 Mpfi Lt 8v Manual,Chevrolet Onix,55.792,R$ 61.870,2019
1.8 16v Sport Manual,Jeep Renegade,30.214,R$ 89.870,2019
1.0 200 Tsi Total Automático,Volkswagen T-cross,24.005,R$ 117.970,2021
1.0 200 Tsi Total Automático,Volkswagen T-cross,25.756,R$ 115.970,2021
1.4 Mpfi Lt 8v Manual,Chevrolet Onix,65.138,R$ 60.770,2019
1.6 Vti 120 Exclusive Eat6,Citroen C3,69.140,R$ 66.870,2019
1.0 200 Tsi Highline Automático,Volkswagen Polo,19.554,R$ 97.370,2020
1.4 Mpi Hard Working Cs 8v Manual,Fiat Strada,72.819,R$ 57.870,2018
2.0 16v Flexone Sport Cvt,Honda Civic,35.404,R$ 119.870,2019
1.6 Msi Total Connect I-motion,Volkswagen Fox,38.760,R$ 64.970,2019
1.8 16v Sport Automático,Jeep Renegade,18.845,R$ 105.570,2021
1.0 12v Evolution Manual,Hyundai Hb20,19.786,R$ 73.870,2021
2.0 16v Longitude Automático,Jeep Compass,54.700,R$ 120.970,2018
1.8 16v Exl Automático,Honda Hr-v,26.772,R$ 131.870,2020
1.4 Mpfi Lt 8v Manual,Chevrolet Onix,67.221,R$ 60.770,2019
1.5 16v Sedan Xls Connect Multidrive,Toyota Yaris,46.402,R$ 99.870,2020
1.5 16v Sedan Xls Connect Multidrive,Toyota Yaris,46.733,R$ 99.870,2020
1.4 Mpfi Lt 8v Manual,Chevrolet Onix,48.705,R$ 61.870,2019
2.0 Mpfi Gl 16v Automático,Hyundai Ix35,39.534,R$ 107.870,2019
1.8 16v Sport Automático,Jeep Renegade,14.771,R$ 105.570,2021
1.0 200 Tsi Total Automático,Volkswagen T-cross,25.136,R$ 115.970,2021
1.0 200 Tsi Total Automático,Volkswagen T-cross,24.977,R$ 115.970,2021
1.0 Turbo Plus Lt Automático,Chevrolet Onix,22.826,R$ 88.870,2021
1.0 200 Tsi Total Automático,Volkswagen T-cross,16.493,R$ 118.970,2021
1.4 Tfsi Ambiente S Tronic,Audi Q3,45.488,R$ 139.870,2018
1.0 200 Tsi Total Automático,Volkswagen T-cross,18.011,R$ 118.970,2021
1.0 Unique 12v Manual,Hyundai Hb20,64.657,R$ 56.970,2019
2.5 Ltz 4x2 Cd 16v Automático,Chevrolet S10,40.696,R$ 161.970,2019
2.0 T4 Momentum Automático,Volvo S60,48.465,R$ 130.870,2018
1.8 16v Longitude Automático,Jeep Renegade,53.420,R$ 90.870,2018
1.4 250 Tsi Total Tiptronic,Volkswagen Jetta,33.045,R$ 108.470,2018
1.4 Mpfi Lt 8v Automático,Chevrolet Onix,42.708,R$ 67.970,2018
1.4 250 Tsi Total Highline Tiptronic,Volkswagen Golf,69.042,R$ 129.070,2018
1.6 Msi Total Automático,Volkswagen Polo,51.371,R$ 74.970,2020
2.0 16v Flexone Ex Cvt,Honda Civic,15.395,R$ 125.570,2019
1.5 I-vtec Touring Cvt,Honda City,1.888,R$ 128.770,2022
2.0 16v Longitude Automático,Jeep Compass,51.172,R$ 115.970,2017
2.0 16v Longitude Automático,Jeep Compass,26.768,R$ 122.970,2018
1.6 Titanium Hatch 16v Powershift,Ford Fiesta,50.614,R$ 62.570,2016
2.0 Vvt-ie Xei Direct Shift,Toyota Corolla,8.131,R$ 146.870,2022
1.6 16v 4you Automático,Suzuki Vitara,60.130,R$ 109.970,2020
1.8 E.torq Precision At6,Fiat Cronos,8.395,R$ 96.970,2021
1.3 Firefly Trekking Manual,Fiat Argo,9.013,R$ 83.970,2021
2.0 16v Flexone Sport Manual,Honda Civic,31.100,R$ 110.970,2019
1.5 16v Sedan Xls Connect Multidrive,Toyota Yaris,49.507,R$ 99.870,2020
1.5 16v Sedan Xls Connect Multidrive,Toyota Yaris,39.421,R$ 99.970,2020
1.4 Mpfi Lt 8v Manual,Chevrolet Onix,56.548,R$ 61.870,2019
1.5 16v Sedan Xls Connect Multidrive,Toyota Yaris,55.653,R$ 99.170,2020
1.0 200 Tsi Total Automático,Volkswagen T-cross,24.213,R$ 116.970,2021
1.0 200 Tsi Total Automático,Volkswagen T-cross,29.541,R$ 115.970,2021
1.0 200 Tsi Total Automático,Volkswagen T-cross,19.340,R$ 118.970,2021
1.4 250 Tsi Total Highline Automático,Volkswagen T-cross,20.864,R$ 144.970,2021
2.0 16v Sport Automático,Jeep Compass,31.531,R$ 125.370,2020
1.4 Tsi Comfortline 16v Automático,Volkswagen Golf,60.175,R$ 78.970,2015
2.0 16v Limited Automático,Jeep Compass,40.261,R$ 130.970,2018
1.0 200 Tsi Highline Automático,Volkswagen Virtus,46.918,R$ 94.970,2020
1.0 Unique 12v Manual,Hyundai Hb20,70.218,R$ 56.970,2019
1.8 E.torq Drive At6,Fiat Cronos,24.181,R$ 77.870,2019
1.0 200 Tsi Total Automático,Volkswagen T-cross,22.375,R$ 118.970,2021
1.0 12v Sce Zen Manual,Renault Kwid,10.566,R$ 57.870,2022
1.6 16v Pulse Manual,Hyundai Creta,49.946,R$ 93.970,2018
1.5 16v Flexone Lx Cvt,Honda Wr-v,15.091,R$ 99.870,2021
1.0 Evo Like. Manual,Fiat Mobi,36.901,R$ 49.870,2020
1.4 Tfsi Prestige S Tronic,Audi Q3,38.703,R$ 163.970,2019
1.0 Firefly Drive Manual,Fiat Argo,55.139,R$ 58.970,2019
1.0 Unique 12v Manual,Hyundai Hb20,42.434,R$ 57.970,2019
1.6 16v Flexstart S Manual,Nissan Kicks,21.032,R$ 90.970,2020
2.0 16v Prestige Automático,Hyundai Creta,77.640,R$ 96.970,2017
3.3 Mpfi 4x4 V6 270cv Automático,Hyundai Santa fe,93.692,R$ 104.070,2014
1.0 12v Sce Zen Manual,Renault Kwid,16.924,R$ 50.970,2020
1.6 16v Sce Intense X-tronic,Renault Captur,49.611,R$ 91.870,2020
1.4 Turbo Sport6 Lt 16v Automático,Chevrolet Cruze,52.332,R$ 102.970,2019
1.6 R Spec 16v Automático,Hyundai Hb20,49.551,R$ 73.870,2018
1.4 Tfsi Sedan Attraction 16v Tiptronic,Audi A3,68.932,R$ 103.970,2017
1.6 16v T-gdi Gls Ecoshift,Hyundai Tucson,88.192,R$ 126.880,2019
1.6 16v T-gdi Gls Ecoshift,Hyundai Tucson,19.976,R$ 148.970,2020
1.0 Mpi Track 12v Manual,Volkswagen Up,63.568,R$ 51.870,2017
1.6 Freestyle 16v Manual,Ford Ecosport,66.530,R$ 59.570,2014
1.6 Vti 120 Feel Eat6,Citroen C4 cactus,570,R$ 102.970,2022
3.3 Mpfi 4x4 V6 270cv Automático,Hyundai Santa fe,117.458,R$ 102.570,2014
2.0 16v Turbo Lt Automático,Chevrolet Equinox,54.250,R$ 129.870,2018
1.8 16v Sport Automático,Jeep Renegade,17.949,R$ 105.570,2021
1.4 Tfsi Attraction S Tronic,Audi Q3,76.779,R$ 119.970,2017
2.0 16v Flexone Sport Cvt,Honda Civic,5.833,R$ 135.970,2021
1.0 Tgdi Platinum Plus Automático,Hyundai Hb20,5.132,R$ 99.970,2022
3.0 Gt 4x4 V6 24v Automático,Mitsubishi Outlander,56.445,R$ 156.970,2018
1.4 250 Tsi Total Comfortline Tiptronic,Volkswagen Jetta,58.498,R$ 114.970,2019
1.0 200 Tsi Total Automático,Volkswagen T-cross,20.000,R$ 117.970,2021
1.6 16v Sce Expression Manual,Renault Duster,30.273,R$ 81.870,2020
1.0 200 Tsi Comfortline Automático,Volkswagen Virtus,79.454,R$ 83.870,2018
2.0 16v Limited Automático,Jeep Compass,43.725,R$ 143.870,2019
1.8 16v Sport Automático,Jeep Renegade,24.793,R$ 104.570,2021
1.6 16v Griffe At6,Peugeot 208,8.460,R$ 103.370,2022
1.6 Outdoor 4x2 16v Manual,Renault Duster,111.655,R$ 55.470,2015
2.0 16v Longitude Automático,Jeep Compass,9.745,R$ 149.970,2021
1.4 250 Tsi Total Highline Automático,Volkswagen T-cross,18.274,R$ 146.970,2021
1.6 Thp Shine Eat6,Citroen C4 cactus,62.559,R$ 90.470,2019
1.0 Mpfi Joy 8v Manual,Chevrolet Onix,81.442,R$ 50.870,2018
1.4 Tfsi Sportback Attraction 16v S-tronic,Audi A3,96.861,R$ 82.870,2015
1.0 Ti-vct Se Sedan Manual,Ford Ka,66.000,R$ 52.970,2019
1.8 16v Sport Automático,Jeep Renegade,38.516,R$ 95.870,2020
1.0 200 Tsi Total Automático,Volkswagen T-cross,46.142,R$ 113.970,2021
1.8 16v Sport Automático,Jeep Renegade,15.826,R$ 105.570,2021
1.0 200 Tsi Total Automático,Volkswagen T-cross,40.505,R$ 113.970,2021
1.6 Titanium Plus Sedan 16v Powershift,Ford Fiesta,74.164,R$ 64.970,2016
1.0 Mpi Fire Economy 8v Manual,Fiat Palio,62.759,R$ 33.770,2014
1.8 Mpfi Ltz 4x2 16v Automático,Chevrolet Tracker,67.322,R$ 74.870,2014
1.5 Mpfi 16v Look Automático,Chery Tiggo 2,27.537,R$ 73.970,2019
1.6 16v Sce Zen Manual,Renault Captur,37.404,R$ 79.870,2018
1.6 Expression 8v Manual,Renault Sandero,103.603,R$ 42.370,2015
1.0 200 Tsi Total Automático,Volkswagen T-cross,24.126,R$ 117.370,2021
2.0 Tsi Highline 200cv Tiptronic,Volkswagen Jetta,119.387,R$ 68.870,2012
1.6 16v Griffe Automático,Peugeot 2008,39.404,R$ 83.570,2019
2.0 Xei 16v Automático,Toyota Corolla,40.918,R$ 115.870,2019
1.4 Tfsi Sedan Prestige Plus 25 Anos Tiptronic,Audi A3,43.765,R$ 145.870,2019
1.0 200 Tsi Comfortline Automático,Volkswagen Virtus,31.809,R$ 88.870,2019
1.0 Turbo Plus Premier Automático,Chevrolet Onix,46.684,R$ 89.870,2020
1.5 16v Sedan Xs Multidrive,Toyota Yaris,58.339,R$ 85.970,2019
1.0 200 Tsi Total Automático,Volkswagen T-cross,18.611,R$ 118.970,2021
1.0 200 Tsi Comfortline Automático,Volkswagen Virtus,35.757,R$ 90.870,2020
1.0 200 Tsi Total Automático,Volkswagen T-cross,37.896,R$ 113.070,2021
1.5 Se 16v Manual,Ford Ka sedan,61.359,R$ 53.770,2018
1.0 200 Tsi Total Comfortline Automático,Volkswagen T-cross,15.795,R$ 122.870,2021
2.0 Tsi Gti 16v Turbo Automático,Volkswagen Golf,62.153,R$ 164.870,2017
1.0 Mpfi Lt 8v Manual,Chevrolet Onix,76.144,R$ 48.870,2016
2.0 16v Prestige Automático,Hyundai Creta,57.301,R$ 97.870,2017
1.0 200 Tsi Total Automático,Volkswagen T-cross,25.892,R$ 117.370,2021
1.8 16v Evo Freedom At6,Fiat Toro,57.399,R$ 109.970,2020
1.5 16v Flexone Exl Cvt,Honda Wr-v,27.355,R$ 106.970,2020
1.8 16v Ex Automático,Honda Hr-v,71.417,R$ 91.970,2016
2.0 Freestyle 16v Automático,Ford Ecosport,51.195,R$ 62.870,2015
1.0 Evo Vivace 8v Manual,Fiat Uno,86.334,R$ 33.970,2013
1.5 Sel 16v Manual,Ford Ka,30.919,R$ 51.970,2016
1.8 Lt 16v Manual,Chevrolet Cruze,73.153,R$ 60.970,2013
1.6 16v 4you Automático,Suzuki Vitara,26.380,R$ 106.970,2019
1.0 Evo Like. Manual,Fiat Mobi,3.251,R$ 62.970,2022
1.0 200 Tsi Comfortline Automático,Volkswagen Virtus,74.069,R$ 82.680,2019
1.5 Ex 16v Automático,Honda Fit,62.420,R$ 89.870,2019
2.0 Xei 16v Automático,Toyota Corolla,42.756,R$ 107.970,2018
1.5 Ex 16v Automático,Honda Fit,6.000,R$ 103.970,2021
1.0 12v Mpi Totalflex Manual,Volkswagen Gol,12.080,R$ 65.870,2022
2.0 16v Flexone Exl Cvt,Honda Civic,40.528,R$ 125.970,2019
1.0 Turbo Premier Automático,Chevrolet Onix,40.912,R$ 92.970,2020
2.0 Dynamic 4wd 16v Automático,Land rover Range rover evoque,76.599,R$ 125.870,2012
1.6 Msi Total Manual,Volkswagen Polo,45.078,R$ 69.970,2020
1.4 Mpi Furgão Hard Working 8v Manual,Fiat Fiorino,43.227,R$ 78.870,2020
1.0 12v Evolution Manual,Hyundai Hb20,7.625,R$ 75.570,2022
1.5 Se 16v Manual,Ford Ka sedan,61.754,R$ 53.170,2018
1.5 Se 16v Manual,Ford Ka sedan,73.019,R$ 53.170,2018
1.6 Sx 16v Automático,Kia Cerato,53.157,R$ 86.170,2019
1.8 16v Automático,Jeep Renegade,52.440,R$ 85.970,2018
1.4 Tsi 16v Turbo Tiptronic,Volkswagen Tiguan,94.725,R$ 104.970,2017
1.8 16v Exl Automático,Honda Hr-v,70.998,R$ 108.870,2018
2.0 16v Limited Automático,Jeep Compass,29.526,R$ 149.880,2021
2.0 16v Longitude Automático,Jeep Compass,55.646,R$ 115.970,2017
1.6 16v Sce Life X-tronic,Renault Captur,56.504,R$ 85.870,2019
1.8 16v Evo Endurance At6,Fiat Toro,40.902,R$ 105.770,2021
2.4 16v Ex 7l Automático,Kia Sorento,29.987,R$ 158.970,2018
2.0 16v Sport Automático,Jeep Compass,47.534,R$ 110.670,2018
1.0 12v Sce Authentique Manual,Renault Sandero,81.031,R$ 43.280,2019
1.8 Vvt-i Hybrid Altis Cvt,Toyota Corolla,23.633,R$ 159.470,2020
1.5 Tivct Se Automático,Ford Ecosport,35.351,R$ 79.870,2019
1.5 Vvt Turbo Iflex Txs Dct,Chery Tiggo 5x,12.637,R$ 129.870,2022
1.5 Ti-vct Freestyle Manual,Ford Ecosport,15.717,R$ 88.070,2020
1.6 Msi Totalflex Manual,Volkswagen Gol,36.977,R$ 58.870,2021
1.8 16v Longitude Automático,Jeep Renegade,63.503,R$ 82.870,2016
1.5 16v Turbo Lt Automático,Chevrolet Equinox,17.679,R$ 148.970,2020
1.0 12v Evolution Manual,Hyundai Hb20,8.252,R$ 75.570,2022
1.4 16v Tsi Comfortline Tiptronic,Volkswagen Jetta,61.169,R$ 91.470,2017
1.4 Tfsi Sedan Ambiente 16v Tiptronic,Audi A3,87.547,R$ 117.870,2018
1.8 16v Ex Automático,Honda Hr-v,29.405,R$ 123.870,2020
1.8 16v Sport Automático,Jeep Renegade,71.287,R$ 78.870,2016
1.0 Turbo Plus Premier Automático,Chevrolet Onix,21.821,R$ 97.470,2021
1.6 Msi Total Connect Manual,Volkswagen Fox,21.272,R$ 69.770,2021
1.0 Comfort Plus 12v Manual,Hyundai Hb20s,72.482,R$ 57.870,2016
1.6 Msi Total Connect Manual,Volkswagen Fox,61.308,R$ 60.870,2019
1.8 Lt 16v Automático,Chevrolet Cruze,79.720,R$ 76.870,2016
2.0 16v Turbo Premier Awd Automático,Chevrolet Equinox,30.317,R$ 164.870,2019
1.8 16v Automático,Jeep Renegade,24.076,R$ 93.870,2020
1.6 Tivct Titanium Powershift,Ford Fiesta,21.186,R$ 74.970,2018
1.6 Msi Total Connect Manual,Volkswagen Fox,61.246,R$ 60.870,2019
1.6 Msi Total Manual,Volkswagen Virtus,41.010,R$ 76.970,2019
1.0 Mpfi Joy 8v Manual,Chevrolet Onix,87.753,R$ 50.870,2018
1.6 Vti 120 Feel Pack Eat6,Citroen C4 cactus,33.007,R$ 89.970,2020
1.0 Unique 12v Manual,Hyundai Hb20,43.669,R$ 57.970,2019
1.0 200 Tsi Comfortline Automático,Volkswagen Polo,18.735,R$ 85.970,2020
1.8 16v Longitude Automático,Jeep Renegade,81.047,R$ 84.870,2017
1.5 Ex 16v Automático,Honda Fit,25.851,R$ 90.970,2019
1.0 12v Vision Manual,Hyundai Hb20,29.809,R$ 68.870,2021
