car_description,car_name,km_traveled,value,year
1.5 Ex 16v Automático,Honda Fit,18.400,R$ 92.970,2019
1.0 Comfort 12v Manual,Hyundai Hb20,79.504,R$ 56.880,2019
1.6 Premium 16v Automático,Hyundai Hb20s,47.204,R$ 59.870,2014
2.0 16v Flexone Exl Cvt,Honda Civic,60.254,R$ 110.870,2017
1.8 16v Longitude Automático,Jeep Renegade,77.891,R$ 82.870,2016
1.0 Turbo Premier Automático,Chevrolet Onix,42.300,R$ 91.870,2020
1.4 250 Tsi Total R-line Tiptronic,Volkswagen Jetta,37.597,R$ 135.870,2019
1.5 Exl 16v Automático,Honda City,32.468,R$ 96.670,2019
1.8 16v Sport Manual,Jeep Renegade,86.181,R$ 74.970,2016
1.0 Comfort Plus 12v Manual,Hyundai Hb20,75.868,R$ 55.870,2018
1.8 16v Exl Automático,Honda Hr-v,36.047,R$ 131.870,2020
2.0 Dynamique 4x2 16v Automático,Renault Duster,69.875,R$ 58.870,2015
2.0 Ex 4x2 16v Automático,Kia Sportage,90.933,R$ 129.870,2017
1.6 16v Sce Intense X-tronic,Renault Captur,39.772,R$ 89.870,2019
1.6 Mi 8v Automatizado,Volkswagen Fox,73.723,R$ 44.970,2014
1.8 16v Evo Freedom Open Edition At6,Fiat Toro,72.283,R$ 95.870,2017
1.4 Mpi Working Cs 8v Manual,Fiat Strada,55.191,R$ 65.970,2020
1.0 Comfort Plus 12v Manual,Hyundai Hb20s,77.017,R$ 65.970,2019
1.0 Ti-vct Se Manual,Ford Ka,25.331,R$ 53.870,2019
1.8 Ltz 8v Automático,Chevrolet Spin,58.839,R$ 74.870,2018
1.4 Turbo Ltz 16v Automático,Chevrolet Cruze,32.500,R$ 109.870,2019
2.7 Srv 4x4 Cd 16v Automático,Toyota Hilux,64.994,R$ 186.880,2020
1.0 12v Evolution Manual,Hyundai Hb20,72.213,R$ 68.680,2021
1.0 12v Vision Manual,Hyundai Hb20,59.716,R$ 63.970,2020
1.8 16v Ex Automático,Honda Hr-v,62.253,R$ 103.870,2018
1.6 16v Premium Automático,Hyundai Hb20x,36.000,R$ 81.970,2019
1.6 Mi 8v Manual,Volkswagen Voyage,85.026,R$ 42.870,2014
1.0 200 Tsi Comfortline Automático,Volkswagen Polo,58.097,R$ 82.870,2019
1.8 16v Automático,Jeep Renegade,46.031,R$ 85.970,2018
1.6 16v Flexstart Sl Xtronic,Nissan Kicks,24.417,R$ 109.870,2020
2.0 16v Diesel Limited 4x4 Automático,Jeep Compass,82.762,R$ 165.870,2018
2.0 16v Sport Automático,Jeep Compass,38.835,R$ 105.870,2017
1.8 16v Sport Automático,Jeep Renegade,61.327,R$ 79.870,2016
1.4 Turbo Ltz 16v Automático,Chevrolet Cruze,83.179,R$ 92.870,2017
2.0 Tsi Highline 211cv Tiptronic,Volkswagen Jetta,48.496,R$ 106.670,2017
1.8 16v Longitude Automático,Jeep Renegade,20.954,R$ 109.970,2021
1.8 16v Longitude Automático,Jeep Renegade,25.950,R$ 109.970,2021
1.4 Cabrio 8v Automatizado,Fiat 500,31.963,R$ 75.770,2015
1.6 Dynamique 4x2 16v Manual,Renault Duster,66.995,R$ 54.970,2014
1.0 S 12v Manual,Ford Ka,70.261,R$ 48.870,2018
1.4 16v Turbo Premier Automático,Chevrolet Tracker,53.594,R$ 102.470,2019
1.5 Ti-vct Se Sedan Manual,Ford Ka,61.944,R$ 59.970,2020
1.0 Ti-vct Se Manual,Ford Ka,58.374,R$ 52.870,2019
1.8 Sfi Lt 8v Manual,Chevrolet Cobalt,60.971,R$ 43.970,2013
2.0 Lx 4x2 16v Automático,Kia Sportage,115.398,R$ 84.870,2014
1.5 Sigma Se Manual,Ford Ka,68.845,R$ 53.770,2018
1.4 Tsi Highline 16v Automático,Volkswagen Golf,73.297,R$ 85.870,2015
1.8 E.torq Precision At6,Fiat Cronos,47.578,R$ 78.970,2019
2.0 Mivec Hpe Cvt,Mitsubishi Asx,49.350,R$ 119.870,2020
1.0 Unique 12v Manual,Hyundai Hb20,68.169,R$ 56.970,2019
1.8 Tfsi Sportback Ambition S-tronic,Audi A1,40.033,R$ 109.970,2016
1.4 250 Tsi Total Highline Automático,Volkswagen T-cross,2.695,R$ 167.970,2022
1.0 Turbo Plus Premier Automático,Chevrolet Onix,15.548,R$ 97.470,2021
2.0 16v Longitude Automático,Jeep Compass,28.045,R$ 128.970,2019
1.6 Griffe Thp 16v Automático,Peugeot 3008,95.755,R$ 69.870,2015
1.8 E.torq Precision At6,Fiat Cronos,1.217,R$ 97.570,2021
1.5 Exl 16v Automático,Honda City,64.158,R$ 84.870,2017
2.0 16v Prestige Automático,Hyundai Creta,15.563,R$ 118.870,2020
2.0 16v Longitude Automático,Jeep Compass,35.581,R$ 120.970,2018
2.0 16v Sport Automático,Jeep Compass,20.432,R$ 121.470,2019
2.0 Vvt-ie Xei Direct Shift,Toyota Corolla,15.146,R$ 140.970,2021
2.0 Vvt-ie Altis Direct Shift,Toyota Corolla,14.795,R$ 164.970,2021
